7zip 26.01-1
gnome-tweaks 49.0-2
gnome-user-docs 50.2-1
gnome-user-share 48.3-1
gnome-weather 50.0-1
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnustep-base 1.31.1-3
gnutls 3.8.13-2
go 2:1.26.3-1
gobject-introspection-runtime 1.86.0-2
gom 0.5.6-1
gpart 0.3-6
gparted 1.8.1-1
gperftools 2.18.1-1
gpgme 2.1.0-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
grantleetheme 26.04.1-1
graphene 1.10.8-2
graphite 1:1.3.14-6
grep 3.12-2
grilo 0.3.19-2
grilo-plugins 1:0.3.18-3
groff 1.24.1-1
grub 2:2.14-1
grub-theme-manjaro 20.2-16
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsl 2.8-1
gsm 1.0.24-1
gsound 1.0.3-4
gspell 1.14.3-1
gssdp 1.6.5-1
gssproxy 0.9.2-3
gst-devtools-libs 1.28.3-1
gst-editing-services 1.28.3-1
gst-libav 1.28.3-1
gst-plugin-gtk 1.28.3-1
gst-plugin-gtk4 0.15.2-2
gst-plugin-pipewire 1:1.6.5-2
gst-plugins-bad 1.28.3-1
gst-plugins-bad-libs 1.28.3-1
gst-plugins-base 1.28.3-1
gst-plugins-base-libs 1.28.3-1
gst-plugins-good 1.28.3-1
gst-plugins-ugly 1.28.3-1
gst-python 1.28.3-1
gstreamer 1.28.3-1
gtest 1.17.0-2
gtk-update-icon-cache 1:4.22.4-1
gtk2 2.24.33-5
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkd 3.11.0-4
gtkmm 1:2.24.5-5
gtkmm-4.0 4.22.0-1
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-2
gtksourceview5 5.20.0-1
guile 3.0.11-1
gupnp 1:1.6.10-1
gupnp-av 0.14.5-1
gupnp-dlna 0.12.0-5
gupnp-igd 1.6.0-2
gutenprint 5.3.5-1
gvfs 1.60.0-2
gvfs-afc 1.60.0-2
gvfs-goa 1.60.0-2
gvfs-gphoto2 1.60.0-2
gvfs-mtp 1.60.0-2
gvfs-nfs 1.60.0-2
gvfs-smb 1.60.0-2
gweather-locations 2026.2-1
gwenview 26.04.1-1
gzip 1.14-2
harfbuzz 14.2.0-1
harfbuzz-icu 14.2.0-1
hdf5 2.1.1-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
htop 3.5.1-1
hunspell 1.7.3-1
hunspell-en_us 2026.02.25-1
hwdata 0.407-1
hwinfo 25.2-1
hwloc 2.13.0-1
hyphen 2.8.9-1
hyphen-en 2.8.9-1
i2c-tools 4.4-4
iana-etc 20260511-1
ibus 1.5.34-1
icu 78.3-1
iio-sensor-proxy 3.9-1
ijs 0.35-7
illyria-wallpaper 1.4-1
imagemagick 7.1.2.23-1
imath 3.2.2-5
imlib2 1.12.6-1
incidenceeditor 26.04.1-1
inetutils 2.8-1
intel-gmmlib 22.10.0-1
intel-media-driver 26.1.5-1
intel-ucode 20260512-1
inxi 3.3.40.1-1
iproute2 7.0.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
jansson 2.15.0-1
jasper 4.2.9-1
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jemalloc 1:5.3.1-2
jetbrains-toolbox 3.5.0.84344-1
jfsutils 1.1.15-9
jp2a 1.3.3-1
jq 1.8.1-3
jre8-openjdk 8.492.u09-1
jre8-openjdk-headless 8.492.u09-1
