7zip 24.09-3
systemd-sysvcompat 257.7-1
systemsettings 6.3.6-1
tar 1.35-2
terminus-font 4.49.1-8
texinfo 7.2-1
tilix 1.9.6-9
timeshift 24.06.6-1
tk 8.6.16-1
tlp 1.8.0-1
topgrade 16.0.4-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-droid 20121017-11
ttf-inconsolata 1:3.000-4
ttf-indic-otf 0.2-12
ttf-liberation 2.1.5-2
typora 1.10.8-1
udiskie 2.5.7-1
udisks2 2.10.1-6
unarchiver 1.10.8-5
usb_modeswitch 2.6.2-1
usbutils 018-1
util-linux 2.41.1-1
vcdimager 2.0.1-7
vi 1:070224-6
vivaldi 7.5.3735.58-1
vulkan-intel 1:25.1.6-1
vulkan-radeon 1:25.1.6-1
wget 1.25.0-2
which 2.23-1
wpa_supplicant 2:2.11-3
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-gnome 48.0-2
xdg-desktop-portal-kde 6.3.6-1
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xf86-input-elographics 1.4.4-1
xf86-input-evdev 2.11.0-1
xf86-input-libinput 1.5.0-1
xf86-input-void 1.4.2-2
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xf86-video-intel 1:2.99.917+939+g4a64400e-1
xf86-video-nouveau 1.0.18-1
xfsprogs 6.15.0-1
xorg-server 21.1.18-2
xorg-twm 1.0.13.1-1
xorg-xinit 1.4.4-1
xorg-xkill 1.0.6-2
xz 5.8.1-1
yakuake 25.04.3-1
yay-bin 12.5.0-1
yelp 42.3-1
yin-yang 4.0.1-3
yt-dlp 2025.06.30-1
yubikey-manager-qt 1.2.5-2
yubikey-personalization-gui 3.1.25-3
zensu 0.3-7
zlib-ng 2.2.4-1
